offer_id,skill_id
offer-011,skill-625da44e4eaf
offer-011,skill-1232362fd209
offer-011,skill-41a52587276c
offer-011,skill-a7056a455639
offer-011,skill-ef0f41c9727a
offer-011,skill-0073e8c7fe96
offer-012,skill-1232362fd209
offer-012,skill-18885f27b5af
offer-012,skill-8c2574892063
offer-012,skill-5b11a40ce7ac
offer-012,skill-e148d591f1e2
offer-013,skill-c8d75cb07591
offer-013,skill-e6169e958b37
offer-013,skill-18885f27b5af
offer-013,skill-a37d07fe3004
offer-013,skill-3c26e7a5b744
offer-013,skill-26f2faf23e18
offer-013,skill-625da44e4eaf
offer-013,skill-32fd72a0e074
offer-014,skill-18885f27b5af
offer-014,skill-9316cd4d881e
offer-014,skill-90cf7bd8432d
offer-014,skill-c4e0ecf5b345
offer-014,skill-c8d75cb07591
offer-014,skill-e4a5f92fd340
offer-014,skill-9efab62721cf
offer-014,skill-49566270eff6
offer-015,skill-18885f27b5af
offer-015,skill-625da44e4eaf
offer-015,skill-1232362fd209
offer-015,skill-41a52587276c
offer-015,skill-a7056a455639
offer-016,skill-ef0f41c9727a
offer-016,skill-724f40bbb5cf
offer-016,skill-553ea337c893
offer-016,skill-72ebd499f293
offer-016,skill-bde483d06e32
offer-017,skill-2dd9eb7d9f0c
offer-017,skill-e6169e958b37
offer-017,skill-41a52587276c
offer-017,skill-18885f27b5af
offer-017,skill-cc52d03280b7
offer-017,skill-53ee99ac6e3c
offer-017,skill-32fd72a0e074
offer-017,skill-5171ce3048d3
offer-018,skill-32fd72a0e074
offer-018,skill-e6169e958b37
offer-018,skill-05b073bd5e46
offer-018,skill-4828e60247c1
offer-018,skill-3c26e7a5b744
offer-019,skill-8e2848d04afe
offer-019,skill-724f40bbb5cf
offer-019,skill-72ebd499f293
offer-019,skill-94f1c7c0ec6d
offer-019,skill-18885f27b5af
offer-019,skill-274b0f34ea9f
offer-019,skill-598821f540fe
offer-019,skill-098bda83a6fa
offer-020,skill-18885f27b5af
offer-020,skill-625da44e4eaf
offer-020,skill-1232362fd209
offer-020,skill-41a52587276c
offer-020,skill-a7056a455639
offer-020,skill-9e8bf4c5c3cb
offer-020,skill-05b073bd5e46
offer-020,skill-31e3cbd5c7bd
offer-021,skill-e6169e958b37
offer-021,skill-a37d07fe3004
offer-021,skill-3c26e7a5b744
offer-021,skill-4828e60247c1
offer-021,skill-05b073bd5e46
offer-021,skill-d1e9567da9a8
offer-022,skill-18885f27b5af
offer-022,skill-625da44e4eaf
offer-022,skill-1232362fd209
offer-022,skill-41a52587276c
offer-022,skill-a7056a455639
offer-022,skill-0ab89cabbdad
offer-022,skill-4828e60247c1
offer-022,skill-26f2faf23e18
offer-023,skill-1232362fd209
offer-023,skill-18885f27b5af
offer-023,skill-8c2574892063
offer-023,skill-5b11a40ce7ac
offer-023,skill-e148d591f1e2
offer-023,skill-03312bee2e65
offer-023,skill-8cdf6dd5be3b
offer-023,skill-3dfaa5639173
offer-024,skill-01fad993ff61
offer-024,skill-b27ad06d123c
offer-024,skill-ed0504f70a48
offer-024,skill-cc9e70625970
offer-024,skill-b949c922b6ef
offer-024,skill-8c2574892063
offer-024,skill-41a52587276c
offer-024,skill-553ea337c893
offer-025,skill-2dd9eb7d9f0c
offer-025,skill-e6169e958b37
offer-025,skill-41a52587276c
offer-025,skill-18885f27b5af
offer-025,skill-cc52d03280b7
offer-025,skill-a37d07fe3004
offer-026,skill-d4347223667f
offer-026,skill-a7056a455639
offer-026,skill-18885f27b5af
offer-026,skill-5ad7efb21006
offer-026,skill-b1fa104b9bf0
offer-027,skill-d4347223667f
offer-027,skill-a7056a455639
offer-027,skill-5ad7efb21006
offer-027,skill-6cab6d272b4d
offer-027,skill-c58f5de0911c
offer-028,skill-ef0f41c9727a
offer-028,skill-724f40bbb5cf
offer-028,skill-553ea337c893
offer-028,skill-72ebd499f293
offer-028,skill-bde483d06e32
offer-028,skill-ee27322554e4
offer-028,skill-e148d591f1e2
offer-028,skill-b37bda2ccfc5
offer-029,skill-b3782288b3dd
offer-029,skill-18885f27b5af
offer-029,skill-1b817f9efc97
offer-029,skill-90cf7bd8432d
offer-029,skill-03312bee2e65
offer-029,skill-e86755d376aa
offer-030,skill-18885f27b5af
offer-030,skill-4445d918dfcf
offer-030,skill-41a52587276c
offer-030,skill-cc52d03280b7
offer-030,skill-b949c922b6ef
offer-030,skill-c58f5de0911c
offer-030,skill-5b11a40ce7ac
offer-030,skill-c8d75cb07591
offer-031,skill-32fd72a0e074
offer-031,skill-e6169e958b37
offer-031,skill-05b073bd5e46
offer-031,skill-4828e60247c1
offer-031,skill-3c26e7a5b744
offer-031,skill-e86755d376aa
offer-031,skill-538372d293e8
offer-031,skill-94f1c7c0ec6d
offer-032,skill-18885f27b5af
offer-032,skill-625da44e4eaf
offer-032,skill-1232362fd209
offer-032,skill-41a52587276c
offer-032,skill-a7056a455639
offer-032,skill-32fd72a0e074
offer-032,skill-ec75f79040af
offer-033,skill-94d8a734ab66
offer-033,skill-494a953d8b1c
offer-033,skill-c58f5de0911c
offer-033,skill-05642da1523d
offer-033,skill-72ebd499f293
offer-033,skill-5ad7efb21006
offer-034,skill-18885f27b5af
offer-034,skill-01fad993ff61
offer-034,skill-41a52587276c
offer-034,skill-e6169e958b37
offer-034,skill-b949c922b6ef
offer-034,skill-9e8bf4c5c3cb
offer-034,skill-1de78d79ea8e
offer-034,skill-3dfaa5639173
offer-035,skill-18885f27b5af
offer-035,skill-598821f540fe
offer-035,skill-c4e0ecf5b345
offer-035,skill-9316cd4d881e
offer-035,skill-a7056a455639
offer-036,skill-b3782288b3dd
offer-036,skill-18885f27b5af
offer-036,skill-1b817f9efc97
offer-036,skill-90cf7bd8432d
offer-036,skill-03312bee2e65
offer-036,skill-9efab62721cf
offer-036,skill-6df2e91a0b30
offer-037,skill-b3782288b3dd
offer-037,skill-18885f27b5af
offer-037,skill-1b817f9efc97
offer-037,skill-90cf7bd8432d
offer-037,skill-03312bee2e65
offer-037,skill-9e8bf4c5c3cb
offer-037,skill-0ab89cabbdad
offer-038,skill-32fd72a0e074
offer-038,skill-e6169e958b37
offer-038,skill-05b073bd5e46
offer-038,skill-4828e60247c1
offer-038,skill-3c26e7a5b744
offer-038,skill-538372d293e8
offer-039,skill-18885f27b5af
offer-039,skill-598821f540fe
offer-039,skill-c4e0ecf5b345
offer-039,skill-9316cd4d881e
offer-039,skill-a7056a455639
offer-039,skill-91231ff9ab66
offer-039,skill-538372d293e8
offer-039,skill-6df2e91a0b30
offer-040,skill-94d8a734ab66
offer-040,skill-494a953d8b1c
offer-040,skill-c58f5de0911c
offer-040,skill-05642da1523d
offer-040,skill-cc63137a281a
offer-040,skill-20f3bd11a056
offer-041,skill-ef0f41c9727a
offer-041,skill-724f40bbb5cf
offer-041,skill-553ea337c893
offer-041,skill-72ebd499f293
offer-041,skill-bde483d06e32
offer-042,skill-8e2848d04afe
offer-042,skill-724f40bbb5cf
offer-042,skill-72ebd499f293
offer-042,skill-94f1c7c0ec6d
offer-042,skill-18885f27b5af
offer-042,skill-d58222c0b47f
offer-042,skill-49566270eff6
offer-042,skill-6df2e91a0b30
offer-043,skill-ef0f41c9727a
offer-043,skill-724f40bbb5cf
offer-043,skill-553ea337c893
offer-043,skill-72ebd499f293
offer-043,skill-bde483d06e32
offer-043,skill-d4347223667f
offer-043,skill-f1deb75fa21d
offer-043,skill-e148d591f1e2
offer-044,skill-b3782288b3dd
offer-044,skill-18885f27b5af
offer-044,skill-1b817f9efc97
offer-044,skill-90cf7bd8432d
offer-044,skill-03312bee2e65
offer-044,skill-d1e9567da9a8
offer-044,skill-31c819b24cf3
offer-045,skill-e6169e958b37
offer-045,skill-a37d07fe3004
offer-045,skill-3c26e7a5b744
offer-045,skill-4828e60247c1
offer-045,skill-05b073bd5e46
offer-046,skill-e6169e958b37
offer-046,skill-a37d07fe3004
offer-046,skill-3c26e7a5b744
offer-046,skill-4828e60247c1
offer-046,skill-05b073bd5e46
offer-046,skill-cc63137a281a
offer-047,skill-18885f27b5af
offer-047,skill-01fad993ff61
offer-047,skill-41a52587276c
offer-047,skill-e6169e958b37
offer-047,skill-b949c922b6ef
offer-047,skill-94f1c7c0ec6d
offer-048,skill-18885f27b5af
offer-048,skill-01fad993ff61
offer-048,skill-41a52587276c
offer-048,skill-e6169e958b37
offer-048,skill-b949c922b6ef
offer-048,skill-ed0504f70a48
offer-048,skill-b3782288b3dd
offer-049,skill-ef0f41c9727a
offer-049,skill-724f40bbb5cf
offer-049,skill-553ea337c893
offer-049,skill-72ebd499f293
offer-049,skill-bde483d06e32
offer-049,skill-3dfaa5639173
offer-049,skill-9efab62721cf
offer-049,skill-9a4d10e69361
offer-050,skill-d4347223667f
offer-050,skill-a7056a455639
offer-050,skill-5ad7efb21006
offer-050,skill-6cab6d272b4d
offer-050,skill-3140d22d8cb3
offer-050,skill-a79bfb3e5086
