offer_id,title,company_id,company_name,city,start_date,end_date,duration_months,level_required,compensation,description,target_programs,status
offer-011,Developpeur FinTech,company-015,ONCF,Rabat,2025-12-25,2026-04-16,4,3A,Non remunere,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Rabat.,Ingenierie Digitale pour la Finance,Ouverte
offer-012,Analyste Risque Financier,company-014,Lydec,Casablanca,2025-11-06,2026-01-29,3,2A,5 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Ingenierie Digitale pour la Finance,Ouverte
offer-013,Ingenieur MLOps,company-009,IBM Maroc,Casablanca,2025-01-21,2025-03-18,2,2A,4 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Informatique.,Ingenierie de l'IA | Genie de la Data,Fermee
offer-014,Ingenieur Machine Learning,company-016,Barid Al-Maghrib,Rabat,2025-08-29,2025-11-21,3,2A,2 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Rabat.",Ingenierie de l'IA | Data Science & Software Engineering,Fermee
offer-015,Developpeur FinTech,company-016,Barid Al-Maghrib,Rabat,2025-12-06,2026-03-28,4,2A,2 000 MAD/mois,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Rabat.,Ingenierie Digitale pour la Finance,Ouverte
offer-016,Analyste Cybersecurite,company-011,HPS Payment,Casablanca,2025-07-26,2026-01-10,6,3A,3 000 MAD/mois,Rejoignez notre equipe et mettez en pratique vos competences dans un environnement professionnel stimulant a Casablanca.,Cybersecurite,Ouverte
offer-017,Developpeur API & Microservices,company-007,CGI Maroc,Casablanca,2025-07-05,2025-12-20,6,2A,2 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Genie Logiciel | Data Science & Software Engineering,Ouverte
offer-018,Ingenieur Cloud AWS,company-010,Sopra HR Software,Casablanca,2025-12-24,2026-04-15,4,2A,5 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Genie de la Data | Genie Logiciel,Ouverte
offer-019,Pentesteur Junior,company-010,Sopra HR Software,Casablanca,2025-01-08,2025-06-25,6,3A,Non remunere,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Cybersecurite,Ouverte
offer-020,Developpeur FinTech,company-016,Barid Al-Maghrib,Rabat,2025-09-18,2025-12-11,3,3A,4 000 MAD/mois,Vous integrerez une equipe dynamique et participerez activement aux projets innovants de notre departement Logistique.,Ingenierie Digitale pour la Finance,Ouverte
offer-021,Ingenieur DevOps,company-013,Royal Air Maroc,Casablanca,2025-11-03,2026-04-20,6,3A,2 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Transport.,Genie Logiciel | Genie de la Data,Ouverte
offer-022,Developpeur FinTech,company-001,Maroc Telecom,Rabat,2025-06-02,2025-11-17,6,3A,2 000 MAD/mois,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Rabat.,Ingenierie Digitale pour la Finance,Fermee
offer-023,Analyste Risque Financier,company-015,ONCF,Rabat,2025-04-07,2025-06-02,2,2A,2 000 MAD/mois,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Rabat.,Ingenierie Digitale pour la Finance,Fermee
offer-024,Developpeur Frontend React,company-013,Royal Air Maroc,Casablanca,2025-12-06,2026-01-31,2,3A,Non remunere,Rejoignez notre equipe et mettez en pratique vos competences dans un environnement professionnel stimulant a Casablanca.,Genie Logiciel,Fermee
offer-025,Developpeur API & Microservices,company-004,Banque Populaire,Casablanca,2025-08-22,2025-09-19,1,2A,3 000 MAD/mois,Vous integrerez une equipe dynamique et participerez activement aux projets innovants de notre departement Finance.,Genie Logiciel | Data Science & Software Engineering,Ouverte
offer-026,Analyste Tableaux de bord,company-011,HPS Payment,Casablanca,2025-12-21,2026-04-12,4,3A,2 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur FinTech.,Business Intelligence & Analytics | Genie de la Data,Fermee
offer-027,Data Analyst BI,company-018,Leoni Maroc,Tanger,2025-11-13,2025-12-11,1,2A,5 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Industrie.,Business Intelligence & Analytics | Genie de la Data,Ouverte
offer-028,Analyste Cybersecurite,company-014,Lydec,Casablanca,2025-11-21,2025-12-19,1,2A,2 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Cybersecurite,Ouverte
offer-029,Ingenieur NLP,company-010,Sopra HR Software,Casablanca,2025-07-11,2025-10-31,4,3A,4 000 MAD/mois,Rejoignez notre equipe et mettez en pratique vos competences dans un environnement professionnel stimulant a Casablanca.,Ingenierie de l'IA,Ouverte
offer-030,Developpeur Backend Python/Django,company-006,CBI Maroc,Casablanca,2025-02-10,2025-07-28,6,2A,1 000 MAD/mois,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Casablanca.,Genie Logiciel | Data Science & Software Engineering,Fermee
offer-031,Ingenieur Cloud AWS,company-009,IBM Maroc,Casablanca,2025-05-11,2025-06-08,1,2A,3 000 MAD/mois,Vous integrerez une equipe dynamique et participerez activement aux projets innovants de notre departement Informatique.,Genie de la Data | Genie Logiciel,Ouverte
offer-032,Developpeur FinTech,company-019,Renault Tanger,Tanger,2025-11-24,2026-03-16,4,2A,3 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Industrie.,Ingenierie Digitale pour la Finance,Fermee
offer-033,Analyste Supply Chain,company-004,Banque Populaire,Casablanca,2025-07-15,2025-12-30,6,2A,5 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Finance.,Smart Supply Chain & Logistics,Fermee
offer-034,Developpeur Full Stack,company-009,IBM Maroc,Casablanca,2025-10-17,2025-11-14,1,3A,1 000 MAD/mois,Vous integrerez une equipe dynamique et participerez activement aux projets innovants de notre departement Informatique.,Genie Logiciel | Data Science & Software Engineering,Ouverte
offer-035,Data Scientist Junior,company-020,Dell Technologies MA,Casablanca,2025-12-14,2026-02-08,2,3A,3 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Ingenierie de l'IA | Data Science & Software Engineering,Ouverte
offer-036,Ingenieur NLP,company-019,Renault Tanger,Tanger,2025-03-09,2025-04-06,1,2A,1 000 MAD/mois,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Tanger.,Ingenierie de l'IA,Ouverte
offer-037,Ingenieur NLP,company-018,Leoni Maroc,Tanger,2025-09-29,2026-03-16,6,3A,2 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Industrie.,Ingenierie de l'IA,Ouverte
offer-038,Ingenieur Cloud AWS,company-004,Banque Populaire,Casablanca,2025-02-08,2025-04-05,2,3A,Non remunere,Opportunite de stage enrichissante au sein d'une structure en pleine croissance basee a Casablanca.,Genie de la Data | Genie Logiciel,Fermee
offer-039,Data Scientist Junior,company-001,Maroc Telecom,Rabat,2025-10-02,2025-10-30,1,3A,5 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Télécoms.,Ingenierie de l'IA | Data Science & Software Engineering,Ouverte
offer-040,Analyste Supply Chain,company-004,Banque Populaire,Casablanca,2025-08-30,2025-09-27,1,3A,5 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Smart Supply Chain & Logistics,Ouverte
offer-041,Analyste Cybersecurite,company-014,Lydec,Casablanca,2025-03-13,2025-04-10,1,3A,Non remunere,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Energie.,Cybersecurite,Ouverte
offer-042,Pentesteur Junior,company-008,Capgemini Maroc,Casablanca,2025-03-11,2025-07-01,4,3A,4 000 MAD/mois,Rejoignez notre equipe et mettez en pratique vos competences dans un environnement professionnel stimulant a Casablanca.,Cybersecurite,Ouverte
offer-043,Analyste Cybersecurite,company-014,Lydec,Casablanca,2025-09-08,2026-02-23,6,2A,3 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Energie.,Cybersecurite,Fermee
offer-044,Ingenieur NLP,company-008,Capgemini Maroc,Casablanca,2025-02-20,2025-05-15,3,2A,Non remunere,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Conseil IT.,Ingenierie de l'IA,Fermee
offer-045,Ingenieur DevOps,company-003,Attijariwafa Bank,Casablanca,2025-11-25,2026-05-12,6,3A,1 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Genie Logiciel | Genie de la Data,Ouverte
offer-046,Ingenieur DevOps,company-019,Renault Tanger,Tanger,2025-02-05,2025-07-23,6,2A,2 000 MAD/mois,Vous integrerez une equipe dynamique et participerez activement aux projets innovants de notre departement Industrie.,Genie Logiciel | Genie de la Data,Ouverte
offer-047,Developpeur Full Stack,company-020,Dell Technologies MA,Casablanca,2025-05-22,2025-07-17,2,2A,Non remunere,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Informatique.,Genie Logiciel | Data Science & Software Engineering,Ouverte
offer-048,Developpeur Full Stack,company-005,BMCE Bank,Casablanca,2025-07-03,2025-08-28,2,2A,1 000 MAD/mois,Stage de fin d'etudes dans une entreprise leader au Maroc. Contribution a des projets a fort impact dans le secteur Finance.,Genie Logiciel | Data Science & Software Engineering,Fermee
offer-049,Analyste Cybersecurite,company-017,UM6P Ventures,Ben Guerir,2025-02-02,2025-05-25,4,2A,3 000 MAD/mois,Rejoignez notre equipe et mettez en pratique vos competences dans un environnement professionnel stimulant a Ben Guerir.,Cybersecurite,Ouverte
offer-050,Data Analyst BI,company-020,Dell Technologies MA,Casablanca,2025-12-04,2026-05-21,6,2A,3 000 MAD/mois,"Dans le cadre de notre transformation digitale, nous recrutons un stagiaire motive pour rejoindre notre equipe technique a Casablanca.",Business Intelligence & Analytics | Genie de la Data,Fermee
